ticker,maturity_years,DD_BSM,PD_P_BSM,PD_Q_BSM,ECL_BSM,DD_Heston,PD_P_Heston,PD_Q_Heston,ECL_Heston,DD_Merton,PD_P_Merton,PD_Q_Merton,ECL_Merton,DD_Kou,PD_P_Kou,PD_Q_Kou,ECL_Kou
AAPL,1.0,11.65963749296705,1.024564688533875e-31,3.002765328050176e-31,0.0,5.9615738796588245,1.2490996015301903e-09,1.2532693216549262e-09,73.93945163289838,7.32962102938808,1.1540223005704205e-13,9.426282872167145e-14,0.006831142686442558,5.969239450530737,1.191810372613844e-09,1.1824109469316113e-09,70.5482615585784
AAPL,3.0,6.784294681352553,5.8327502593337795e-12,1.7351335865547487e-11,0.3452649854010556,4.520745108648612,3.0811174749345582e-06,4.3880932966144925e-06,182384.28403477123,4.879000768318921,5.331232441450428e-07,6.09204237343302e-07,31557.80393857049,5.966475053206245,1.2121689207944542e-09,1.2060665244284507e-09,71.75336953129109
AAPL,5.0,5.295835721200885,5.9236656251391927e-08,1.787404052495681e-07,3506.4664774761436,3.901610304562705,4.77774507465778e-05,7.663024257520412e-05,2828147.974983075,3.8663565247767897,5.523670291340696e-05,7.087493034964991e-05,3269692.4395967945,5.217080843301689,9.088247043820274e-08,2.635269403805651e-07,5379.715131613061
BBBY,1.0,2.6059154674700773,0.004581453615825652,0.00668320032387569,75837.94706616597,2.381554437972292,0.008619871222591946,0.011591402146258645,142686.88331537013,2.4893579600430717,0.0063987021774243,0.008740802489187089,105919.3168184488,2.6013993455021924,0.004642215298159225,0.006764814805018948,76843.75038425419
BBBY,3.0,1.1300593110048354,0.129225616686987,0.1837081615609955,2139103.9394238675,1.079221365811795,0.14024452861166675,0.19188051962798602,2321502.7432410726,1.044451673967512,0.14813823334786683,0.1996657087349671,2452169.2111655767,1.1265961788257959,0.12995662772968203,0.1845536542966189,2151204.547966359
BBBY,5.0,0.5852795309230948,0.2791798879559819,0.38591465373837613,4621334.480307357,0.5742662327564674,0.28289382785804496,0.38301731753287926,4682812.255991182,0.5019752020238567,0.3078424823078003,0.4050630687022288,5095793.570261596,0.5818919592028179,0.28031972846538633,0.3870712784724718,4640202.545219656
GME,1.0,0.8302263319786556,0.20320541503652184,0.04361206223773739,664771274.8858534,0.8288051005026499,0.20360735080268422,0.056388017751392405,666086177.5996712,0.7180737877148764,0.236355895680945,0.06195139531700668,773220586.0280354,0.825266317737007,0.20461020495436683,0.04438637971135595,669366939.7428396
GME,3.0,-0.7974374718783125,0.7874014980498276,0.23368455403389005,2575924945.7576575,-0.7483824395891305,0.7728852442552637,0.23508915880993064,2528436110.187776,-0.8137079125941137,0.7920938499208978,0.2678918656936794,2591275622.9774733,-0.798101293772224,0.7875941446354056,0.2355546767173371,2576555174.613882
GME,5.0,-1.606673322293496,0.9459369756258615,0.3590253036912505,3094561870.486834,-1.594416967636125,0.9445786627308722,0.35233540452391365,3090118251.7243433,-1.5848900886842816,0.9435043455937162,0.3946510740522015,3086603703.783923,-1.6055608768301273,0.9458147863271918,0.3611966389922959,3094162137.3604336
ORCL,1.0,3.0871477435819927,0.0010104356408939684,0.0019288346513057224,63114235.17577541,2.664583877959049,0.0038541820180784114,0.005917076199728921,240741458.88602096,2.7528825426212236,0.0029536543091369543,0.004606401593404346,184492336.9190361,3.0736110055476273,0.001057424960644926,0.002008360560111888,66049300.861787625
ORCL,3.0,1.7434553688470928,0.04062705192299945,0.0805705973032333,2537663168.0351605,1.6030459034521771,0.05446225998795895,0.09436075573643926,3401843468.271887,1.519180874910503,0.06435848697155648,0.10733825816500639,4019985556.6121492,1.7338473948539983,0.04147258187319669,0.08182841853933809,2590476997.996361
ORCL,5.0,1.320335001113395,0.09336159726270327,0.18982490776295696,5831589432.8618765,1.2430632052434176,0.10692227163951934,0.1971021791372055,6678621700.056313,1.1095741656857252,0.13359128440585488,0.22795497851306812,8344432243.072269,1.31125764034714,0.09488536719776719,0.19186840434569497,5926767760.053813
