ticker,as_of_date,maturity_years,asset_value_proxy,debt_face_value,mu_physical,sigma_asset_proxy,risk_free_rate,Distance_to_Default,PD_physical,PD_risk_neutral,Distance_to_Default_Kou,PD_Kou_physical,PD_Kou_risk_neutral,Kou_lambda,Kou_eta,Kou_kappa,Kou_lambda_T
AAPL,2025-12-31,1.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,11.659636111771738,1.0245813081461727e-31,3.0028197756889e-31,5.96931688343091,1.1912449360274024e-09,1.1818465650570431e-09,5.0,0.02,-0.02,5.0
AAPL,2025-12-31,3.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,6.784294044264921,5.832775995815794e-12,1.7351446273658635e-11,5.964121316880137,1.2297697860041978e-09,1.2556906070493312e-09,5.0,0.02,-0.02,15.0
AAPL,2025-12-31,5.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,5.295835351918291,5.923677597636221e-08,1.7874112189073666e-07,5.109746657931233,1.6129554258892398e-07,4.4999500981024454e-07,5.0,0.02,-0.02,25.0
JPM,2025-12-31,1.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,5.172108961956091,1.157332673525625e-07,2.3415093269522136e-05,4.836650136297772,6.602277232703457e-07,6.496313629328343e-05,5.0,0.02,-0.02,5.0
JPM,2025-12-31,3.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,4.284356450003496,9.163444528027505e-06,0.008726549109324038,4.042715400229633,2.641786847712435e-05,0.012434768718105893,5.0,0.02,-0.02,15.0
JPM,2025-12-31,5.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,4.324259026838007,7.652269493024683e-06,0.03130863254047166,4.081933340699617,2.2331304097122917e-05,0.040063058703033616,5.0,0.02,-0.02,25.0
XOM,2025-12-31,1.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,11.307813548349396,6.00218368586317e-30,1.907883439471281e-27,6.02492598410128,8.45935155258104e-10,8.071943113918678e-10,5.0,0.02,-0.02,5.0
XOM,2025-12-31,3.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,7.170147166782609,3.7458593990116724e-13,1.7573156565983959e-10,6.00795294792649,9.39401723076827e-10,3.158856842766511e-09,5.0,0.02,-0.02,15.0
XOM,2025-12-31,5.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,6.050936272521664,7.200320546884975e-10,4.933859601211124e-07,5.644361369286219,8.289775532688282e-09,2.227375235419604e-06,5.0,0.02,-0.02,25.0
T,2025-12-31,1.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,3.8600135466880037,5.669036967590011e-05,0.00027629024567516565,3.5749951600567473,0.00017511718755053307,0.0006734577318069368,5.0,0.02,-0.02,5.0
T,2025-12-31,3.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,2.7601628462179293,0.0028886277882886327,0.019856526055199254,2.571614836380082,0.005061271905826392,0.02777391736572532,5.0,0.02,-0.02,15.0
T,2025-12-31,5.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,2.549775357596115,0.0053896175267458876,0.05033272163004983,2.371548324656099,0.008856865060342833,0.06426233152751926,5.0,0.02,-0.02,25.0
F,2025-12-31,1.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,1.702592920076785,0.044322137968025234,0.21744842130700526,1.6465671721060329,0.049823521331722964,0.2260192821545881,5.0,0.02,-0.02,5.0
F,2025-12-31,3.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,1.9861142783052654,0.02351031810034331,0.3484196194359996,1.9162489833764929,0.027666705584675377,0.3576581827741431,5.0,0.02,-0.02,15.0
F,2025-12-31,5.0,218071618627.67316,165738000000.0,0.34003871352271464,0.3290888195993752,0.036699999999999997,2.31545230795611,0.010294095855208253,0.3996128904307819,2.232088593098727,0.012804554096038867,0.40960338277926145,5.0,0.02,-0.02,25.0
UAL,2025-12-31,1.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,1.3130462708276165,0.094583678495962,0.12054859796220735,1.2951608602980507,0.09763237180992562,0.12388283421207164,5.0,0.02,-0.02,5.0
UAL,2025-12-31,3.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.6746462921208701,0.24995025726997483,0.33331495149906537,0.659236139611751,0.25487207158969694,0.3380747153702732,5.0,0.02,-0.02,15.0
UAL,2025-12-31,5.0,67206491562.52458,31036000000.0,0.11522637089814344,0.5577255741764531,0.036699999999999997,0.4579453977512557,0.32349583509368685,0.44310062733264677,0.4419557059457645,0.3292606294011171,0.4482298731511537,5.0,0.02,-0.02,25.0
AMZN,2025-12-31,1.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,8.247445080355828,8.090841218312495e-17,7.054534596310021e-17,6.015659338794036,8.957798947051288e-10,8.97559360168998e-10,5.0,0.02,-0.02,5.0
AMZN,2025-12-31,3.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,4.669619725532488,1.5087889746717635e-06,1.313793023259403e-06,4.524814248126573,3.02242867045166e-06,2.6537620738675827e-06,5.0,0.02,-0.02,15.0
AMZN,2025-12-31,5.0,2629916498596.1914,152987000000.0,0.031108860568594705,0.3415756393692918,0.036699999999999997,3.5457742039692195,0.00019573073893995753,0.00017024184138278222,3.433372316496774,0.0002980614504502488,0.0002612694020988626,5.0,0.02,-0.02,25.0
KO,2025-12-31,1.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,12.377592889261944,1.7277587782770368e-35,2.669551619718692e-32,6.058865892180879,6.854231071606876e-10,6.519310091768205e-10,5.0,0.02,-0.02,5.0
KO,2025-12-31,3.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,7.986307149682394,6.952050160343801e-16,1.9580726854785413e-12,6.041013667011805,7.657450229459073e-10,1.179518371863253e-09,5.0,0.02,-0.02,15.0
KO,2025-12-31,5.0,346217490106.9121,45492000000.0,0.14191894953479922,0.17420797683468295,0.036699999999999997,6.836906015725306,4.046089535195004e-12,2.0515571862043515e-08,5.931568071370148,1.500275570442966e-09,5.032909438096311e-07,5.0,0.02,-0.02,25.0
