ticker,as_of_date,maturity_years,Distance_to_Default,PD_physical,PD_risk_neutral,model
JPM,2025-12-31,3.0,4.042715400229633,2.641786847712435e-05,0.012434768718105893,Kou
JPM,2025-12-31,5.0,4.081933340699617,2.2331304097122917e-05,0.040063058703033616,Kou
XOM,2025-12-31,1.0,6.02492598410128,8.45935155258104e-10,8.071943113918678e-10,Kou
XOM,2025-12-31,3.0,6.00795294792649,9.39401723076827e-10,3.158856842766511e-09,Kou
XOM,2025-12-31,5.0,5.644361369286219,8.289775532688282e-09,2.227375235419604e-06,Kou
T,2025-12-31,1.0,3.5749951600567473,0.00017511718755053307,0.0006734577318069368,Kou
T,2025-12-31,3.0,2.571614836380082,0.005061271905826392,0.02777391736572532,Kou
T,2025-12-31,5.0,2.371548324656099,0.008856865060342833,0.06426233152751926,Kou
F,2025-12-31,1.0,1.6465671721060329,0.049823521331722964,0.2260192821545881,Kou
F,2025-12-31,3.0,1.9162489833764929,0.027666705584675377,0.3576581827741431,Kou
F,2025-12-31,5.0,2.232088593098727,0.012804554096038867,0.40960338277926145,Kou
UAL,2025-12-31,1.0,1.2951608602980507,0.09763237180992562,0.12388283421207164,Kou
UAL,2025-12-31,3.0,0.659236139611751,0.25487207158969694,0.3380747153702732,Kou
UAL,2025-12-31,5.0,0.4419557059457645,0.3292606294011171,0.4482298731511537,Kou
AMZN,2025-12-31,1.0,6.015659338794036,8.957798947051288e-10,8.97559360168998e-10,Kou
AMZN,2025-12-31,3.0,4.524814248126573,3.02242867045166e-06,2.6537620738675827e-06,Kou
AMZN,2025-12-31,5.0,3.433372316496774,0.0002980614504502488,0.0002612694020988626,Kou
KO,2025-12-31,1.0,6.058865892180879,6.854231071606876e-10,6.519310091768205e-10,Kou
KO,2025-12-31,3.0,6.041013667011805,7.657450229459073e-10,1.179518371863253e-09,Kou
KO,2025-12-31,5.0,5.931568071370148,1.500275570442966e-09,5.032909438096311e-07,Kou
