ticker,as_of_date,maturity_years,asset_value_proxy,debt_face_value,mu_physical,sigma_asset_proxy,risk_free_rate,Distance_to_Default,PD_physical,PD_risk_neutral,Distance_to_Default_Merton_Jump,PD_Merton_Jump_physical,PD_Merton_Jump_risk_neutral,MertonJump_lambda,MertonJump_muJ,MertonJump_sigmaJ
AAPL,2025-12-31,1.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,11.659636111771738,1.0245813081461727e-31,3.0028197756889e-31,7.329620857764169,1.154023778358342e-13,9.426301960658407e-14,5.0,-0.05,0.1
AAPL,2025-12-31,3.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,6.784294044264921,5.832775995815794e-12,1.7351446273658635e-11,4.879000643903254,5.331235804021925e-07,6.09205308502679e-07,5.0,-0.05,0.1
AAPL,2025-12-31,5.0,4114915247194.824,98657000000.0,0.06622518999687521,0.32122417857586094,0.036699999999999997,5.295835351918291,5.923677597636221e-08,1.7874112189073666e-07,3.8663564922017115,5.523671028775831e-05,7.08750269724739e-05,5.0,-0.05,0.1
JPM,2025-12-31,1.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,5.172108961956091,1.157332673525625e-07,2.3415093269522136e-05,3.2015427190309085,0.0006834690247479301,0.0042298237975681155,5.0,-0.05,0.1
JPM,2025-12-31,3.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,4.284356450003496,9.163444528027505e-06,0.008726549109324038,2.7436011498404422,0.003038466158230631,0.05742650266998626,5.0,-0.05,0.1
JPM,2025-12-31,5.0,1368774952730.0684,499982000000.0,0.3106804185600559,0.24880153383017498,0.036699999999999997,4.324259026838007,7.652269493024683e-06,0.03130863254047166,2.7595795827959395,0.002893789436365842,0.11465262524565782,5.0,-0.05,0.1
XOM,2025-12-31,1.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,11.307813548349396,6.00218368586317e-30,1.907883439471281e-27,5.96938352142975,1.1907585360138514e-09,2.8694788173975116e-09,5.0,-0.05,0.1
XOM,2025-12-31,3.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,7.170147166782609,3.7458593990116724e-13,1.7573156565983959e-10,4.334405554946427,7.307725879651431e-06,4.473685490944457e-05,5.0,-0.05,0.1
XOM,2025-12-31,5.0,546437844696.0449,43537000000.0,0.15840777620010238,0.2352831604883561,0.036699999999999997,6.050936272521664,7.200320546884975e-10,4.933859601211124e-07,3.727075980892335,9.6857037331442e-05,0.000897488274775657,5.0,-0.05,0.1
T,2025-12-31,1.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,3.8600135466880037,5.669036967590011e-05,0.00027629024567516565,2.2991669143068467,0.0107477314921051,0.01672272665330818,5.0,-0.05,0.1
T,2025-12-31,3.0,329854559596.8776,155043000000.0,0.1268884978593377,0.22206683448608688,0.036699999999999997,2.7601628462179293,0.0028886277882886327,0.019856526055199254,1.6435422948080218,0.05013539100486175,0.10136309327725196,5.0,-0.05,0.1
