Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,,
2025-12-30,232.52999877929688,232.52999877929688,232.77000427246094,230.1999969482422,231.2100067138672,21910500
