Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2025-12-30,272.82470703125,273.0799865722656,274.0799865722656,272.2799987792969,272.80999755859375,22139600
