Price,Adj Close,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F,F
Date,,,,,,
2025-12-30,13.088249206542969,13.229999542236328,13.289999961853027,13.199999809265137,13.279999732971191,23002800
