Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UAL,UAL,UAL,UAL,UAL,UAL
Date,,,,,,
2025-12-30,111.5199966430664,111.5199966430664,112.41000366210938,111.0,111.58999633789062,2071700
