Price,Adj Close,Close,High,Low,Open,Volume
Ticker,T,T,T,T,T,T
Date,,,,,,
2025-12-30,24.26850128173828,24.809999465942383,24.860000610351562,24.729999542236328,24.770000457763672,21047900
