Price,Adj Close,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM,XOM
Date,,,,,,
2025-12-30,120.18889617919922,120.98999786376953,121.80000305175781,120.62999725341797,121.0999984741211,11150500
