Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KO,KO,KO,KO,KO,KO
Date,,,,,,
2025-12-30,69.59149169921875,70.06999969482422,70.23999786376953,69.80000305175781,70.0,8610900
